DateTime,HeartRate,bloodPressure,OxygenLevel
100,60,120/60,50%
101,60,120/60,50%
102,60,120/60,50%
103,60,120/60,50%
104,60,120/60,50%
105,60,120/60,50%
106,60,120/60,50%
107,60,120/60,50%
108,60,120/60,50%
109,60,120/60,50%
110,60,120/60,50%
111,60,120/60,50%
112,60,120/60,50%
113,60,120/60,50%
114,60,120/60,50%
115,60,120/60,50%
116,60,120/60,50%
117,60,120/60,50%
118,60,120/60,50%
119,60,120/60,50%
120,60,120/60,50%
121,60,120/60,50%
122,60,120/60,50%
123,60,120/60,50%
124,60,120/60,50%
125,60,120/60,50%
126,60,120/60,50%
127,60,120/60,50%
128,60,120/60,50%
129,60,120/60,50%
130,60,120/60,50%
131,60,120/60,50%
132,60,120/60,50%
133,60,120/60,50%
134,60,120/60,50%
135,60,120/60,50%
136,60,120/60,50%
137,60,120/60,50%
138,60,120/60,50%
139,60,120/60,50%
140,60,120/60,50%
141,60,120/60,50%
142,60,120/60,50%
143,60,120/60,50%
144,60,120/60,50%
145,60,120/60,50%
146,60,120/60,50%
147,60,120/60,50%
148,60,120/60,50%
149,60,120/60,50%
150,60,120/60,50%
151,60,120/60,50%
152,60,120/60,50%
153,60,120/60,50%
154,60,120/60,50%
155,60,120/60,50%
156,60,120/60,50%
157,60,120/60,50%
158,60,120/60,50%
159,60,120/60,50%
160,60,120/60,50%
161,60,120/60,50%
162,60,120/60,50%
163,60,120/60,50%
164,60,120/60,50%
165,60,120/60,50%
166,60,120/60,50%
167,60,120/60,50%
168,60,120/60,50%
169,60,120/60,50%
170,60,120/60,50%
171,60,120/60,50%
172,60,120/60,50%
173,60,120/60,50%
174,60,120/60,50%
175,60,120/60,50%
176,60,120/60,50%
177,60,120/60,50%
178,60,120/60,50%
179,60,120/60,50%
180,60,120/60,50%
181,60,120/60,50%
182,60,120/60,50%
183,60,120/60,50%
184,60,120/60,50%
185,60,120/60,50%
186,60,120/60,50%
187,60,120/60,50%
188,60,120/60,50%
189,60,120/60,50%
190,60,120/60,50%
191,60,120/60,50%
192,60,120/60,50%
193,60,120/60,50%
194,60,120/60,50%
195,60,120/60,50%
196,60,120/60,50%
197,60,120/60,50%
198,60,120/60,50%
199,60,120/60,50%
